ElementID,ElementNameEN,SortElement,ElementNameDE,ElementNameFR,ElementNameIT,IfcEntityIfc4.0Name,ElementDescriptionEN,ElementDescriptionDE,ElementDescriptionFR,ElementDescriptionIT,ContainedInEN,ContainedInDE,ContainedInFR,ContainedInIT
Project,Project,"1,0",Projekt,,,IfcProject,"IfcProject is the main container for a digital building project. It stores essential project information like: <br>

- Project name and description<br>
- Measurement units<br>
- Location details<br>
- Project stages<br>
- Basic project-wide settings<br>
<br>
It acts as the central point for organizing all building information, helping team members access and understand the project easily.","IfcProject ist der Hauptcontainer für ein digitales Bauprojekt. Es speichert wesentliche Projektinformationen wie:<br>

- Projektname und -beschreibung<br>
- Masseinheiten<br>
- Standortdetails<br>
- Projektphasen<br>
- Grundlegende projektweite  Einstellungen<br>
<br>
Es dient als zentraler Punkt für die Organisation aller Bauinformationen und hilft Teammitgliedern, das Projekt leicht zu verstehen und darauf zuzugreifen.",,,,,,
Planning Perimeter,Planning Perimeter,"2,0",Planungsperimeter,,,IfcSite,"A planning perimeter is represented as a single ""IfcSite"", even if it consists of multiple legal plots.","Ein Planungsperimeter wird als eine ""IfcSite"" dargestellt, auch wenn er aus mehreren baurechtlichen Grundstücken besteht.",,,Project,Projekt,,
Building,Building,"3,0",Gebäude,,,IfcBuilding,,,,,Planning Perimeter,Planungsperimeter,,
Storey / Floor,Storey / Floor,"4,0",Geschoss,,,IfcBuildingStorey,"Recommendation: 
- Create a separate Building Storey for the foundation.
- Coordinate and harmonize the names of the floors early in the process.","Empfehlung:
- Erstellen Sie ein separates Geschoss (Building Storey) für das Fundament.
- Koordinieren und harmonisieren Sie die Bezeichnungen der Geschosse frühzeitig im Prozess.",,,Building,Gebäude,,
Useable Space,Useable Space,"5,0",Nutzbarer Raum,,,IfcSpace,"Model each usable space as one volume per story without any overlaps:

- Ideal: From structural slab top to next structural slab bottom

- Alternative: From usable floor top to structural slab bottom

- Horizontal extent: From interior wall to interior wall, to capture the entire usable volume

- Fill every ""Void"" in the building. e.g. Shafts, Elevators, ","Modellieren Sie jeden nutzbaren Raum als ein Volumen pro Geschoss ohne Überschneidungen:

Optimal: Von Oberkante Rohdecke bis Unterkante der nächsten Rohdecke

Alternative: Von Oberkante Nutzfläche bis Unterkante Rohdecke

Horizontale Ausdehnung: Von Innenwand zu Innenwand, um das gesamte nutzbare Volumen zu erfassen",,,Storey / Floor,Geschoss,,
Void in double height rooms,Void in double height rooms,"6,0",Luftraum,,,IfcSpace,"Model ""Void"" above usable space:
- One volume per story
- Ensure contact with space below/above","Modellieren Sie den ""Void"" über dem nutzbaren Raum:

1. Ein Volumen pro Geschoss
2. Stellen Sie Kontakt zum Raum darunter/darüber sicher",,,Storey / Floor,Geschoss,,
Gross Floor Volume,Gross Floor Volume,"7,0",Bruto Geschoss Volumen,,,IfcSpace,"Modeling of Floor Volumes:

- Model the volume floor by floor as IfcSpace.
- The outer edge of the floor volume lies on the outer edge of the facade.
- Lowest floor: from bottom edge of foundation to top edge of structural ceiling of first floor
- Standard floors: from top edge of rough ceiling to top edge of structural ceiling of the next floor or roof skin
- Attics, canopies, and cantilevered slabs are measured over.","Modellierung von Geschoss Volumen:

- Modellieren Sie das Volumen geschossweise als IfcSpace.
- Die Aussenkante des Geschossvolumens liegt auf der Aussenkante der Fassade.
- Unterstes Geschoss von  Unterkante Fundament bis Oberkante Rohdecke erstes Geschoss
- Regelgeschosse von  Oberkante Rohdecke bis Oberkante Rohdecke des nächsten Geschosses oder Dachhaut
- Attika, Vordächer und auskragende Platten werden übermessen.",,,Storey / Floor,Geschoss,,
Window,Window,"8,0",Fenster,,,IfcWindow,,,,,Storey / Floor,Geschoss,,
Doors,Doors,"9,0",Türen,,,IfcDoor,,,,,Storey / Floor,Geschoss,,
Curtain Walls,Curtain Walls,"10,0",Vorhangfassaden,,,IfcCurtainWall,Many Simulation tools have problems dealing,,,,Storey / Floor,Geschoss,,
