AttributeID,AttributeName,SortAttribute,AttributeDescription,AttributeDescriptionDE,AttributeDescriptionFR,AttributeDescriptionIT,Pset,AllowedValuesEN,AllowedValuesDE,AllowedValuesFR,AllowedValuesIT,RegexCheckEN,RegexCheckDE,RegexCheckFR,RegexCheckIT,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhaseEN,ProjectPhaseDE,ProjectPhaseFR,ProjectPhaseIT,ElementID,ModelID,WorkflowID
Name_Project,Name,"1,0",Project Name or Number,Projektname oder Nummer,,,,,,,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","11  Formulation des besoins / Stratégies de solutions, 21  Définition du projet / Étude de faisabilité, 22  Procédure de sélection, 31  Avant-projet, 32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","11  Formulazione delle esigenze / Strategie di soluzione, 21  Definizione del progetto / Studio di fattibilità, 22  Procedura di selezione, 31  Progetto preliminare, 32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Project,"Architectural Building Element and Space Model,Architectural Floor Volume Model",RIM
Name_Planning Perimeter,Name,"1,0",Name of the Perimeter,Planungsperimeterbezeichnung,,,,,,,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","11  Formulation des besoins / Stratégies de solutions, 21  Définition du projet / Étude de faisabilité, 22  Procédure de sélection, 31  Avant-projet, 32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","11  Formulazione delle esigenze / Strategie di soluzione, 21  Definizione del progetto / Studio di fattibilità, 22  Procedura di selezione, 31  Progetto preliminare, 32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Planning Perimeter,"Architectural Building Element and Space Model,Architectural Floor Volume Model",RIM
Name_Building,Name,"1,0",Name of the Building,Gebäudebezeichnung,,,,,,,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","11  Formulation des besoins / Stratégies de solutions, 21  Définition du projet / Étude de faisabilité, 22  Procédure de sélection, 31  Avant-projet, 32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","11  Formulazione delle esigenze / Strategie di soluzione, 21  Definizione del progetto / Studio di fattibilità, 22  Procedura di selezione, 31  Progetto preliminare, 32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Building,"Architectural Building Element and Space Model,Architectural Floor Volume Model",RIM
Name_Storey / Floor,Name,"1,0",Unique floor designation,Eindeutige Geschossbezeichnung,,,,,,,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","11  Formulation des besoins / Stratégies de solutions, 21  Définition du projet / Étude de faisabilité, 22  Procédure de sélection, 31  Avant-projet, 32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","11  Formulazione delle esigenze / Strategie di soluzione, 21  Definizione del progetto / Studio di fattibilità, 22  Procedura di selezione, 31  Progetto preliminare, 32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Storey / Floor,"Architectural Building Element and Space Model,Architectural Floor Volume Model",RIM
Name_Useable Space,Name,"1,0","Recommendation: <br>
- Room Identifier: Persistent Unique Numerical Designation <br>
- Definition: A distinct, enduring numerical code assigned to each room for unambiguous identification within a building or complex. E.g., #007 <br>
<br>
Key Principles for Effective Data Management:

1. Persistence: Maintain the same identifier as long as the room's core attributes remain unchanged: <br>
   - Position (not relocated to a different part of the building)
   - General size (minor adjustments are acceptable)
   - Primary function (e.g., remains an office or meeting room)

2. Non-reuse: Retire old identifiers rather than reassigning them to new spaces:
   - Prevents confusion in historical data analysis
   - Avoids potential errors in facility management systems

3. Consistency: Apply identifiers systematically across all building documentation and systems:
   - Floor plans
   - Building Information Models (BIM)
   - Facility management software
   - Maintenance records

4. Format Standardization: Adopt a consistent format for all identifiers:
   - E.g., three-digit numbers preceded by # (#001, #002, etc.)
   - Consider building or floor prefixes for larger complexes (B1-#007, B2-#007)

5. Change Management: Implement a formal process for identifier changes when necessary:
   - Document reasons for changes
   - Update all relevant systems and documentation
   - Maintain a change log for future reference

6. Resist Client-Driven Changes: If clients request room numbering changes during project execution:
   - Explain that the current identifiers are technical room numbers crucial for data integrity
   - Offer to add a separate, non-technical room number attribute to accommodate their preference
   - Emphasize the importance of maintaining the original identifiers for system consistency and future operations

Remember: While it may seem tempting to reorganize or reuse identifiers, maintaining consistency over time is crucial for reliable long-term data management and analysis in facility operations. Technical room numbers should remain stable, even if additional labeling schemes are introduced for client use.","Empfehlung:\n
- Raumkennung: Persistente eindeutige numerische Bezeichnung \n
- Definition: Ein eindeutiger, dauerhafter numerischer Code, der jedem Raum zur unmissverständlichen Identifizierung innerhalb eines Gebäudes oder Komplexes zugewiesen wird. Z.B. #007 \n
\n
Schlüsselprinzipien für effektives Datenmanagement:

1. Beständigkeit: Behalten Sie dieselbe Kennung bei, solange die Kernattribute des Raums unverändert bleiben:
   - Position (nicht in einen anderen Teil des Gebäudes verlegt)
   - Allgemeine Größe (geringfügige Anpassungen sind akzeptabel)
   - Primäre Funktion (z.B. bleibt ein Büro oder Besprechungsraum)

2. Keine Wiederverwendung: Alte Kennungen ausmustern, statt sie neuen Räumen zuzuweisen:
   - Verhindert Verwirrung bei historischen Datenanalysen
   - Vermeidet potenzielle Fehler in Facility-Management-Systemen

3. Konsistenz: Kennungen systematisch in allen Gebäudedokumentationen und -systemen anwenden:
   - Grundrisse
   - Gebäudeinformationsmodelle (BIM)
   - Facility-Management-Software
   - Wartungsaufzeichnungen

4. Formatstandardisierung: Ein einheitliches Format für alle Kennungen verwenden:
   - Z.B. dreistellige Zahlen mit vorangestelltem # (#001, #002, usw.)
   - Für größere Komplexe Gebäude- oder Etagenpräfixe in Betracht ziehen (B1-#007, B2-#007)

5. Änderungsmanagement: Einen formalen Prozess für notwendige Kennungsänderungen implementieren:
   - Gründe für Änderungen dokumentieren
   - Alle relevanten Systeme und Dokumentationen aktualisieren
   - Änderungsprotokoll für zukünftige Referenzen führen

6. Kundengetriebenen Änderungen widerstehen: Wenn Kunden während der Projektdurchführung Änderungen der Raumnummerierung wünschen:
   - Erklären Sie, dass die aktuellen Kennungen technische Raumnummern sind, die für die Datenintegrität entscheidend sind
   - Bieten Sie an, ein separates, nicht-technisches Raumnummernattribut hinzuzufügen, um ihre Präferenz zu berücksichtigen
   - Betonen Sie die Wichtigkeit der Beibehaltung der ursprünglichen Kennungen für die Systemkonsistenz und zukünftige Betriebsabläufe

Merke: Auch wenn es verlockend erscheinen mag, Kennungen neu zu organisieren oder wiederzuverwenden, ist die Aufrechterhaltung der Konsistenz über die Zeit entscheidend für ein zuverlässiges langfristiges Datenmanagement und Analysen im Gebäudebetrieb. Technische Raumnummern sollten stabil bleiben, selbst wenn zusätzliche Beschriftungsschemata für den Kundengebrauch eingeführt werden.",,,,,,,,,,,,,,checked,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Useable Space,Architectural Building Element and Space Model,RIM
LongName_Useable Space,LongName,"2,0","Room Type Naming: A Key Element in Building Information Management

Definition: A type name for the room, e.g., Office, Meeting Room, Laboratory, Storage.

Best Practices:
1. Use clear, descriptive names (e.g., ""Open Plan Office"" instead of just ""Office"")
2. Establish a standardized list of room types for your organization
3. Avoid abbreviations or codes that may be unclear to some users
4. Consider including subtypes for more detailed classification (e.g., ""Meeting Room - Large"")
5. Regularly review and update naming conventions to ensure they meet evolving needs

Remember: Consistent and thoughtful room type naming is foundational for effective building information management. It supports improved decision-making, efficiency, and long-term data usability across various aspects of facility management, energy modeling, space utilization, and regulatory compliance.","Definition: Eine Typbezeichnung für den Raum, z.B. Büro, Besprechungsraum, Labor, Lager.

Beste Praktiken:
1. Verwenden Sie klare, beschreibende Namen (z.B. ""Großraumbüro"" statt nur ""Büro"")
2. Erstellen Sie eine standardisierte Liste von Raumtypen für Ihre Organisation
3. Vermeiden Sie Abkürzungen oder Codes, die für einige Benutzer unklar sein könnten
4. Erwägen Sie die Einbeziehung von Untertypen für eine detailliertere Klassifizierung (z.B. ""Besprechungsraum - Groß"")
5. Überprüfen und aktualisieren Sie die Benennungskonventionen regelmäßig, um sicherzustellen, dass sie den sich entwickelnden Anforderungen entsprechen

Merke: Konsistente und durchdachte Raumtyp-Benennung ist grundlegend für ein effektives Gebäudeinformationsmanagement. Sie unterstützt verbesserte Entscheidungsfindung, Effizienz und langfristige Datennutzbarkeit in verschiedenen Bereichen des Facility Managements, der Energiemodellierung, der Raumnutzung und der Einhaltung von Vorschriften.",,,,,,,,,,,,,,checked,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Useable Space,Architectural Building Element and Space Model,RIM
LongName_Void in double height rooms,LongName,"2,0","Recommendation:
- Name them consistently for simple filtering. E.g. Void","Empfehlung:
- Benenne sie einheitlich für einfache Filterung. z.B. Luftraum
",,,,test,test,test,test,test,test,test,test,,,checked,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Void in double height rooms,Architectural Building Element and Space Model,RIM
IsExternal_Useable Space,IsExternal,"5,0","The attribute defines space location:

True: Outside (e.g., balcony)
False: Inside (e.g., kitchen, parking garage)","Das Attribut definiert die Raumlage:
- True: Außen (z.B. Balkon)
- False: Innen (z.B. Küche, Parkgarage)",,,,"TRUE, FALSE","TRUE, FALSE","TRUE, FALSE","TRUE, FALSE",,,,,,,,checked,checked,checked,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Useable Space,Architectural Building Element and Space Model,RIM
PredefinedType_Useable Space,PredefinedType,"3,0","In the Attribute, you can define if it's an EXTERNAL or INTERNAL Space.","Im Attribut können Sie festlegen, ob es sich um einen EXTERNEN oder INTERNEN Raum handelt.",,,,"EXTERNAL, INTERNAL","EXTERNAL, INTERNAL","EXTERNAL, INTERNAL","EXTERNAL, INTERNAL",,,,,,,,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Useable Space,Architectural Building Element and Space Model,RIM
PredefinedType_Gross Floor Volume,PredefinedType,"3,0",Set the Predefined Type to GFA (Gross Floor Area).,Setzen Sie den vordefinierten Typ auf GFA (Brutto-Grundfläche).,,,,GFA,GFA,GFA,GFA,,,,,,,,checked,checked,checked,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung","32  Projet de construction, 33  Procédure d'autorisation, 41  Appel d'offres / Comparaison des offres, Proposition d'attribution, 51  Planification d'exécution, 52  Exécution, 53  Mise en service / Achèvement, 61  Exploitation, 62  Entretien","32  Progetto di costruzione, 33  Procedura di approvazione, 41  Gara d'appalto / Confronto delle offerte, Proposta di aggiudicazione, 51  Pianificazione dell'esecuzione, 52  Esecuzione, 53  Messa in funzione / Completamento, 61  Operazione, 62  Manutenzione",Gross Floor Volume,Architectural Floor Volume Model,RIM
