AttributeID,AttributeName,SortAttribute,AttributeDescriptionDE,Pset,AllowedValuesDE,RegexCheckDE,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhase,ProjectPhaseDE,ElementID,ModelID,WorkflowID,ServiceLevelDE,InformationProviderDE
Name_Projekt,Name,1.0,Projekt-Nr Bauherr,,[Projektnummer],,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Projekt,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Name_Gebäudezone,Name,1.0,Gebäudezone gemäss Nummerierungskonzept des Planers. Starten Sie die Bezeichnung mit GB gefolgt von einer ganzzahligen Nummer. z.B. GB13,,^GB\d+$,^GB\d+$,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Gebäudezone,Architektur Gesamtmodell inkl. Räumen,"Beschaffung (PM/OM),Datenübergabe in Bewirtschaftung BBL,Projektstart mit BIM,Visualisieren von Gebäudezonen",Grundleistung,Planer (CDE oder Modell)
Name_Architektonische Bauteil / Element (Allgemein),Name,1.0,"Frei wählbar nach konsistenter Definition des Fachplaner. Entweder als Bauteiltyp oder wenn sinnvoll kann der Name mit einer eindeutige Nummer ergänzt werden. 
Beispiel: Fertigteilstützen Nr. 007, Lüftungsklappen Nr. 018, Brandschotts Nr. 321...",,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Architektonische Bauteil / Element (Allgemein),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung,Landschaftsarchitektur,Spezialist Sicherheitsplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Name_Planungsperimeter / Projektperimeter,Name,1.0,Eindeutiger Identifier des Grundstücks (WE/Grundstück Nr.) z.B. 2564/01,,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Planungsperimeter / Projektperimeter,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Name_Fenster / Oberlichter (eBKP-H: E03.01),Name,1.0,In späteren Phasen ist auch  eine eindeutige Fensternummer möglich.,,,,IfcLabel,,checked,checked,checked,,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Fenster / Oberlichter (eBKP-H: E03.01),"Architektur Gesamtmodell inkl. Räumen,Fassadenplanung",Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell)
Name_Gebäude / Bauwerke,Name,1.0,"Gebäude ID. Eindeutiger Identifier des Bauwerkes (WE/Objekt Nr.): ""2564/AB""",,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Gebäude / Bauwerke,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Name_Raum,Name,1.0,"Eindeutige Nummer des Raumes. z.B. 01.008 nach dem Schema Geschoss Fortlaufende Nummer


",,,,IfcLabel,,checked,checked,checked,,"32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb",Raum,Architektur Gesamtmodell inkl. Räumen,"Datenübergabe in Bewirtschaftung BBL,Projektstart mit BIM",Grundleistung,Planer (CDE oder Modell)
Name_eBKP-H Klassifizierung,Name,1.0,Alle Bauteile sind nach eBKP-H Gruppe und zweistelligen Zahlencode zu klassifizieren.,,eBKP,,,,checked,checked,checked,checked,"52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung","52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung",eBKP-H Klassifizierung,"Architektur Gesamtmodell inkl. Räumen,HLKSE Heizung-Kälte,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung",Visualisieren der eBKP-h Zuordnung von Bauteilen für Plausibilisierungen,Grundleistung,Planer (CDE oder Modell)
Name_Geschoss / Stockwerk,Name,1.0,"Eindeutiger Identifier des Geschosses gemäss Klassifikation Geschosse: ""01""",,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Geschoss / Stockwerk,"Architektur Gesamtmodell inkl. Räumen,Architektur Referenzmodell / Perimeter / Koordinationselemente,HLKSE Heizung-Kälte,Architektur Gebäudevolumen,Architektur Geschossfläche,HLKSE Sanitärplanung,HLKSE Lüftung-Klima,HLKSE Elektroplanung,Bauingenieur Tragwerk inkl. Sperrzonen,Landschaftsarchitektur,Spezialist Sicherheitsplanung,Bauingenieur Baugrube,Fassadenplanung,Bauingenieur Sperrzonen,Bauingenieur Holzbau,Bauingenieur Stahlbau,Bauingenieur Tiefbau & Werkleitungen,HLKSE Aussparungen,HLKSE Lichtplanung,HLKSE Gebäudeautomation,HLKSE Sprinklerplanung","Datenübergabe in Bewirtschaftung BBL,Wartung / Inspektion (OM),Projektstart mit BIM,Inventar,Beschaffung (PM/OM),Reinigung / Umgebungspflege,Zählen von Parkplätzen,Berechnen von Flächenkennwerten gemäss DIN 277-SIA 0165,Berechnen von SIA416 Volumenkennwerten,Visualisieren & Verwalten von Lastenanforderungen,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Berechnen der Energiebezugsfläche",Grundleistung,Planer (CDE oder Modell)
Name_Brandabschnittszone,Name,1.0,Brandabschnitte gemäss Nummerierungskonzept des Planers.  Starten Sie die Bezeichnung mit BR gefolgt von einer ganzzahligen Nummer. z.B. BR13,,^BR\d+$,^BR\d+$,IfcLabel,,checked,checked,checked,checked,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Brandabschnittszone,Architektur Gesamtmodell inkl. Räumen,"Beschaffung (PM/OM),Datenübergabe in Bewirtschaftung BBL,Visualisieren der Schutzzonen,Projektstart mit BIM",Grundleistung,Planer (CDE oder Modell)
