ElementID,SortElement,ElementNameDE,IfcEntityIfc4.0Name,ElementDescriptionDE,ContainedInDE,Attributes
Projekt,"1,0",Projekt,IfcProject,"Das Projekt dient als logische Gliederungsebene und muss in jeder IFC Datei gepflegt sein, sodass die Dateien eindeutig den Projekten zugeordnet werden können.",,"Name_Projekt,Description_Projekt,Phase_Projekt"
Planungsperimeter / Projektperimeter,"2,0",Planungsperimeter / Projektperimeter,IfcSite,"Der Planungs- oder Projektperimeter wird als IfcSite modelliert. Da das Baurechtliche Grundstück nicht zwangsläufig Deckungsgleich mit dem Planungsperimeter ist, können mehrere Parzellen gemäss Katasterplan zu einem IfcSite zusammengefasst werden.",Projekt,"PropertyName_Planungsperimeter / Projektperimeter,Identifier_Planungsperimeter / Projektperimeter,LandID_Planungsperimeter / Projektperimeter,Location_Planungsperimeter / Projektperimeter,LandArea_Planungsperimeter / Projektperimeter,PostalCode_Planungsperimeter / Projektperimeter,Name_Planungsperimeter / Projektperimeter,Country_Planungsperimeter / Projektperimeter,Town_Planungsperimeter / Projektperimeter,Region_Planungsperimeter / Projektperimeter"
Gebäude / Bauwerke,"3,0",Gebäude / Bauwerke,IfcBuilding,"Das Gebäude dient als logische Gliederungsebene - Analog dem Teilprojekt.Die Aufteilung in Gebäude ist mit dem Projektleiter im Vorfeld abzuklären. Kriterien können sein:
- Kostengliederung / Teilobjekte
- Reduktion der Dateigrösse für besser Performance
- Etappierungen
- ...",Planungsperimeter / Projektperimeter,"BuildingID_Gebäude / Bauwerke,YearOfConstruction_Gebäude / Bauwerke,Reference_Gebäude / Bauwerke,Name_Gebäude / Bauwerke,Description_Gebäude / Bauwerke,AdressNumber_Gebäude / Bauwerke,InsuranceNumber_Gebäude / Bauwerke,RiskLevel_Gebäude / Bauwerke"
Geschoss / Stockwerk,"4,0",Geschoss / Stockwerk,IfcBuildingStorey,"Jede nutzbare Ebene ist ein eigenes Geschoss. Damit können:
- Die Modelle im BIM-Viewer besser navigiert werden.
- Auswertungen Geschossweise gemacht werden.- Die Decke über einem Geschoss wird in das darüberliegende Geschoss gelegt.
- Wenn es notwendig ist die Abhangdecke zu modellieren wird diese in das Geschoss gelegt in dem der Raum ist.
- Wenn es möglich ist, kann bei mehrläufigen Treppen, die oberen Treppenläufe in das darüberliegende Geschoss gelegt werden. Dies entspricht der einstrichlierten Treppe in einem 2D Plan und macht den unter dem Treppenlauf liegenden Raum sichtbar.
- Jeder modellierte Bauteil ist einem Geschoss zugeordnet.
- Geschossübergreifende Bauteile z.B. Wände werden geschossweise getrennt.",Gebäude / Bauwerke,"Name_Geschoss / Stockwerk,Description_Geschoss / Stockwerk,GrossHeight_Geschoss / Stockwerk,AboveGround_Geschoss / Stockwerk"
Modelleinfügepunkte,"5,0",Modelleinfügepunkte,IfcBuildingElementProxy,"Die Modelleinfügepunkte werden am Anfang des Projektes definiert und bei Projektstart dem gesamten Team übergeben.Modellieren von drei am Kopf stehenden Pyramiden, wobei die Spitze mindestens einer Pyramide einen georeferenzierten Punkt markieren muss.",Geschoss / Stockwerk,"LV95N_Modelleinfügepunkte,LV95E_Modelleinfügepunkte,Elevation_Modelleinfügepunkte,Name_Modelleinfügepunkte"
Baurechtliche Parzelle,"6,0",Baurechtliche Parzelle,IfcBuildingElementProxy,Jede Parzelle wird als modelliertes Element als Projektion von Oben übergeben. - Höhe = 1m,Geschoss / Stockwerk,"Name_Baurechtliche Parzelle,ObjectType_Baurechtliche Parzelle"
Raum Typ gemäss Vorgabe DIN 277-SIA 0165,"7,0",Raum Typ gemäss Vorgabe DIN 277-SIA 0165,IfcClassification,"Das Klassifikationssystem muss nach Bau 281d Weisung CAD-Daten – Anhang 3 Flächenbaum BBL 01.06.2018. Gemäss 03_Raumtypen exakt als: ""BBL_Bau _281"" bezeichnet werden. - Die modelierten Raum Elemente (ifcSpace) sind den Typen zuzuordnen und zu exportieren.",Projekt,Name_Raum Typ gemäss Vorgabe DIN 277-SIA 0165
Raum,"8,0",Raum,IfcSpace,"Nettoräum repräsentieren die Nutzflächen gemäss SIA 416 (Brutoräume sind separat Beschrieben) und sind geschossweise modelliert. Nettoräume werden für jeden Raum entsprechend den raumbildenden Elemente angelegt.- Sämtliche Flächen/Volumen sind mit dem Raumwerkzeug als Volumen zu modellieren.
- Es muss jeder Hohlraum modelliert werden. Zum Beispiel  Technik-,  Aufzugsschächte und Lufträume (siehe separaten Punkt) .
- Damit die Flächenauszüge korrekt sind, darf es zu keinen Raumüberschneidungen und Raumdoppelungen kommen.
- Räume sind von Oberkante Fertigfussboden (OKFB) bis zu Unterkanterohdecke (UKRD) zu modellieren, sodass Gebäudetechnikkompetenten eindeutig den Räumen zugeordnet werden können.
",Geschoss / Stockwerk,"AreaLoad_Raum,PointLoad_Raum,IsExternal_Raum,FireExit_Raum,OccupancyNumber_Raum,NetPlannedArea_Raum,Name_Raum,Description_Raum,GrossFloorArea_Raum,MinimumHeadroom_Raum,PredefinedTyp_Raum,FinishCeilingHeight_Raum,NetFloorArea_Raum,EBZ_Raum,Height_Raum,FireExit_Raum,NaturalVentilationRate_Raum,SpaceTemperatureWinterMin_Raum,SpaceTemperatureSummerMax_Raum,SpaceHumidityMax_Raum,GrossVolume_Raum,HandicapAccessible_Raum"
Luftraum (Geschossweise),"9,0",Luftraum (Geschossweise),IfcSpace,"Um keine Hohlräume im Gebäude zu haben und verschiedene Flächenberechnungen (SIA 416) automatisiert ausführen zu können, ist der Luftraum in mehrgeschossigen Räumen als eigener Raum geschossweise zu modelieren.Lufträume sind als eigener Raum von Oberkante des unteren Raumes bis Unterkanterohdecke (UKRD) zu modellieren. ",Geschoss / Stockwerk,"LongName_Luftraum (Geschossweise),Height_Luftraum (Geschossweise),NetFloorArea_Luftraum (Geschossweise),GrossVolume_Luftraum (Geschossweise),FinishCeilingHeight_Luftraum (Geschossweise),PredefinedTyp_Luftraum (Geschossweise)"
Aussenraum,"10,0",Aussenraum,IfcSpace,"Aussenräume wie Balkone, Terrassen sowie der gesamte Planungsperimeter muss mit Räumen für bearbeitete (BUF) und unbearbeitete Umgebungsfläche (UUF) im EG modelliert werden.- Der Aussenraum wird als Volumenkörper ausserhalb des Ifc Gebäudes mit einer Höhe von 1m modelliert. 
- Die Aussenräuem repräsentieren bearbeitet oder unbearbeitet Umgebungsflächen in Ausdehnung des Projektperimeter und sind nach den Raumtypen zu klassifzieren.
- Bei Geländen im Gefälle ist der Aussenraum in Projektion zu modellieren.
- Die bearbeitetn und unbearbeiteten Aussenräume sind im EG zu modellieren.
- Balkone/Terrassen usw. sind im jeweiligen Geschoss zu modellieren.",Geschoss / Stockwerk,"IsExternal_Aussenraum,Name_Aussenraum,Description_Aussenraum,GrossFloorArea_Aussenraum"
Parkplatz,"11,0",Parkplatz,IfcSpace,Jeder einzelne Parkplatz ist als eigenes IfcSpace Element zu modellieren. Lufträume sind als eigener Raum von Oberkante des unteren Raumes bis Unterkanterohdecke (UKRD) zu modellieren. ,Geschoss / Stockwerk,"LongName_Parkplatz,PredefinedTyp_Parkplatz,NetFloorArea_Parkplatz,Height_Parkplatz,FinishCeilingHeight_Parkplatz"
Schutzzonen,"13,0",Schutzzonen,IfcZone,Die Schutzzonen werden als IfcZone modelliert und zeigen welche Räume welcher Schutzzone zugeordnet sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Schutzzonen
Nutzungseinheit,"14,0",Nutzungseinheit,IfcBuildingSystem,"Alle Elemente welche der Nutzungseinheit zugeordent sind. z.B. Räume, Türen, Nichttragende Innenwände, Bodenbeläge, ... Dies kann zum Beispiel verwendet werden um Kostenteilerl zu verwalten und zu visualisieren.Alle Bauteile welche zu einer Nutzungseinheit und deren Kostenstelle gehören werden in einem IfcBuildingSystem zusammengefasst. ",Projekt,Name_Nutzungseinheit
Sicherheitsbereich,"12,0",Sicherheitsbereich,IfcZone,Die Sicherheitszonen werden als IfcZone modelliert und zeigen welche Räume welchem Sicherheitsbereich zugeordnet  sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Sicherheitsbereich
Brandabschnittszone,"15,0",Brandabschnittszone,IfcZone,Die Brandabschnitte werden als IfcZone modelliert und zeigen welche Räume welchem Brandabschnitte  zugeordnet  sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Brandabschnittszone
Explosionszone,"16,0",Explosionszone,IfcZone,Die Brandabschnitte werden als IfcZone modelliert und zeigen welche Räume welchem Brandabschnitte  zugeordnet  sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Explosionszone
Gebäudezone,"17,0",Gebäudezone,IfcZone,Die Gebäudezonen werden als IfcZone modelliert und zeigen welche Räume welchem Gebäudeteil  zugeordnet  sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Gebäudezone
Evakuierungszone,"18,0",Evakuierungszone,IfcZone,Die Evakuierungsbereiche werden als IfcZone modelliert und zeigen welche Räume welchem Evakuierungsbereiche zugeordnet  sind.Die einzelnen modellierten Räumen werden den Zonen zugeordnet. Ein Raum kann somit teil von unterschiedlichen Zonen sein.,Projekt,Name_Evakuierungszone
eBKP-H Klassifizierung,"19,0",eBKP-H Klassifizierung,IfcClassification,Alle Bauteile in den Modellen sind nach eBKP-H zu klassifizieren. d.h. Die Bauteile werden der eBKP-H Klassifizierung zugeordnet.,Projekt,Name_eBKP-H Klassifizierung
Geschossvolumen,"20,0",Geschossvolumen,IfcSpace,"Das Geschossvolumen dient als Grundlage für Kennzahlen und als Basis für Städtebauliche Visualisierungen. Es ist ein Volumen als IfcSpace geschossweise zu modellieren. 
- Fundamente ... von Unterkante Fundament bis OK Rohdecke erstes Geschoss
- Geschosse ... von Oberkante Rohdecke bis Oberkante Rohdecke bzw. Dachhaut

Attikaaufbauten und Vordächer/Auskragende Platten werden übermessen.

Die Aussenkante des Geschossvolumens liegt auf Aussenkante Fassade!",Geschoss / Stockwerk,"GrossVolume_Geschossvolumen,Name_Geschossvolumen,Height_Geschossvolumen,GrossFloorArea_Geschossvolumen"
Geschossfläche,"21,0",Geschossfläche,IfcSpace,"Das Geschossfläche dient als Grundlage für Kennzahlen. Es ist ein Volumen als IfcSpace geschossweise von Oberkante Fussboden bis Unterkante Rohdecke zu modellieren.

Lufträume unter 5m2 werden übermessen, Grössere Lufträume werden ausgesparrt.",Geschoss / Stockwerk,"GrossFloorArea_Geschossfläche,IsExternal_Geschossfläche,Height_Geschossfläche"
