AttributeID,AttributeName,SortAttribute,AttributeDescriptionDE,Pset,AllowedValuesDE,RegexCheckDE,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhase,ProjectPhaseDE,ElementID,ModelID,WorkflowID,ServiceLevelDE,InformationProviderDE,SortElement,ElementNameDE,IfcEntityIfc4.0Name,ElementDescriptionDE,ContainedInDE,Attributes,ModelNameDE,ModelDescriptionDE,FileNameDE,SortModels,SorrWorkflow,WorkflowNameDE,WorkflowSubheaderEN,WorkflowSubheaderDE,WorkflowDescriptionDE,Status,Selected
LV95E_Modelleinfügepunkte,LV95E,301,Landeskoordinaten nach LV95 East,Cust_ModelInsertionPoint,,,IfcReal,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Modelleinfügepunkte,Architektur Referenzmodell / Perimeter / Koordinationselemente,Inventar,Grundleistung,Planer (CDE oder Modell),5.0,Modelleinfügepunkte,IfcBuildingElementProxy,"Die Modelleinfügepunkte werden am Anfang des Projektes definiert und bei Projektstart dem gesamten Team übergeben.Modellieren von drei am Kopf stehenden Pyramiden, wobei die Spitze mindestens einer Pyramide einen georeferenzierten Punkt markieren muss.",Geschoss / Stockwerk,"LV95N_Modelleinfügepunkte,LV95E_Modelleinfügepunkte,ElevationNF02_Modelleinfügepunkte,ObjectType_Modelleinfügepunkte",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,8.0,,,,,,1.0
ElevationNF02_Modelleinfügepunkte,ElevationNF02,300,Die Höhe des Einfügepunktes in Meter über dem Meeresspiegel.,Cust_ModelInsertionPoint,,,IfcReal,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Modelleinfügepunkte,Architektur Referenzmodell / Perimeter / Koordinationselemente,Visualisieren & Verwalten von Lastenanforderungen,Grundleistung,Planer (CDE oder Modell),5.0,Modelleinfügepunkte,IfcBuildingElementProxy,"Die Modelleinfügepunkte werden am Anfang des Projektes definiert und bei Projektstart dem gesamten Team übergeben.Modellieren von drei am Kopf stehenden Pyramiden, wobei die Spitze mindestens einer Pyramide einen georeferenzierten Punkt markieren muss.",Geschoss / Stockwerk,"LV95N_Modelleinfügepunkte,LV95E_Modelleinfügepunkte,ElevationNF02_Modelleinfügepunkte,ObjectType_Modelleinfügepunkte",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,6.0,,,,,,1.0
Phase_Projekt,Phase,7,Phasenbezeichnung gmäss SIA z.B. 21 Machbarkeitsstudie,,"11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Projekt,Architektur Referenzmodell / Perimeter / Koordinationselemente,Abgleich von Soll-Raumprogramm zu Ist-Raumprogramm,Grundleistung,Planer (CDE oder Modell),1.0,Projekt,IfcProject,"Das Projekt dient als logische Gliederungsebene und muss in jeder IFC Datei gepflegt sein, sodass die Dateien eindeutig den Projekten zugeordnet werden können.",,"Name_Projekt,Description_Projekt,Phase_Projekt",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,7.0,,,,,,1.0
LV95N_Modelleinfügepunkte,LV95N,302,Landeskoordinaten nach LV95 North,Cust_ModelInsertionPoint,,,IfcReal,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Modelleinfügepunkte,Architektur Referenzmodell / Perimeter / Koordinationselemente,Inventar,Grundleistung,Planer (CDE oder Modell),5.0,Modelleinfügepunkte,IfcBuildingElementProxy,"Die Modelleinfügepunkte werden am Anfang des Projektes definiert und bei Projektstart dem gesamten Team übergeben.Modellieren von drei am Kopf stehenden Pyramiden, wobei die Spitze mindestens einer Pyramide einen georeferenzierten Punkt markieren muss.",Geschoss / Stockwerk,"LV95N_Modelleinfügepunkte,LV95E_Modelleinfügepunkte,ElevationNF02_Modelleinfügepunkte,ObjectType_Modelleinfügepunkte",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,8.0,,,,,,1.0
Description_Gebäude / Bauwerke,Description,2,"Angabe des Rufnamens des Gebäudes, / Bezeichnung. z.B. Begegnungszentrum",,,,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Gebäude / Bauwerke,Architektur Referenzmodell / Perimeter / Koordinationselemente,Projektstart mit BIM,Grundleistung,Planer (CDE oder Modell),3.0,Gebäude / Bauwerke,IfcBuilding,"Das Gebäude dient als logische Gliederungsebene - Analog dem Teilprojekt. Die Aufteilung in Gebäude ist mit dem Projektleiter im Vorfeld abzuklären. Kriterien können sein:
- Kostengliederung / Teilobjekte
- Reduktion der Dateigrösse für besser Performance
- Etappierungen
- ...",Planungsperimeter / Projektperimeter,"BuildingID_Gebäude / Bauwerke,YearOfConstruction_Gebäude / Bauwerke,Reference_Gebäude / Bauwerke,Name_Gebäude / Bauwerke,Description_Gebäude / Bauwerke,AdressNumber_Gebäude / Bauwerke,InsuranceNumber_Gebäude / Bauwerke,RiskLevel_Gebäude / Bauwerke",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,3.0,,,,,,1.0
Description_Projekt,Description,2,Projektname des Bauherren,,{Projektname},,IfcText,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Projekt,Architektur Referenzmodell / Perimeter / Koordinationselemente,Berechnen der Energiebezugsfläche,Grundleistung,Planer (CDE oder Modell),1.0,Projekt,IfcProject,"Das Projekt dient als logische Gliederungsebene und muss in jeder IFC Datei gepflegt sein, sodass die Dateien eindeutig den Projekten zugeordnet werden können.",,"Name_Projekt,Description_Projekt,Phase_Projekt",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,12.0,,,,,,1.0
Country_Planungsperimeter / Projektperimeter,Country,400,Abkürzung des Ländercodes gemäss Liste,Cust_Site,"AF, AL, DZ, AS, AD, AO, AI, AQ, AG, AR, AM, AW, AU, AT, AZ, BS, BH, BD, BB, BY, BE, BZ, BJ, BM, BT, BO, BQ, BA, BW, BV, BR, IO, BN, BG, BF, BI, CV, KH, CM, CA, KY, CF, TD, CL, CN, CX, CC, CO, KM, CD, CG, CK, CR, HR, CU, CW, CY, CZ, CI, DK, DJ, DM, DO, EC, EG, SV, GQ, ER, EE, SZ, ET, FK, FO, FJ, FI, FR, GF, PF, TF, GA, GM, GE, DE, GH, GI, GR, GL, GD, GP, GU, GT, GG, GN, GW, GY, HT, HM, VA, HN, HK, HU, IS, IN, ID, IR, IQ, IE, IM, IL, IT, JM, JP, JE, JO, KZ, KE, KI, KP, KR, KW, KG, LA, LV, LB, LS, LR, LY, LI, LT, LU, MO, MG, MW, MY, MV, ML, MT, MH, MQ, MR, MU, YT, MX, FM, MD, MC, MN, ME, MS, MA, MZ, MM, NA, NR, NP, NL, NC, NZ, NI, NE, NG, NU, NF, MP, NO, OM, PK, PW, PS, PA, PG, PY, PE, PH, PN, PL, PT, PR, QA, MK, RO, RU, RW, RE, BL, SH, KN, LC, MF, PM, VC, WS, SM, ST, SA, SN, RS, SC, SL, SG, SX, SK, SI, SB, SO, ZA, GS, SS, ES, LK, SD, SR, SJ, SE, CH, SY, TW, TJ, TZ, TH, TL, TG, TK, TO, TT, TN, TR, TM, TC, TV, UG, UA, AE, GB, UM, US, UY, UZ, VU, VE, VN, VG, VI, WF, EH, YE, ZM, ZW, AX",,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Planungsperimeter / Projektperimeter,Architektur Referenzmodell / Perimeter / Koordinationselemente,Projektstart mit BIM,Grundleistung,Planer (CDE oder Modell),2.0,Planungsperimeter / Projektperimeter,IfcSite,"Der Planungs-- oder Projektperimeter wird als IfcSite modelliert. Da das Baurechtliche Grundstück nicht zwangsläufig Deckungsgleich mit dem Planungsperimeter ist, können mehrere Parzellen gemäss Katasterplan zu einem IfcSite zusammengefasst werden.",Projekt,"PropertyName_Planungsperimeter / Projektperimeter,Identifier_Planungsperimeter / Projektperimeter,LandID_Planungsperimeter / Projektperimeter,Location_Planungsperimeter / Projektperimeter,LandArea_Planungsperimeter / Projektperimeter,PostalCode_Planungsperimeter / Projektperimeter,Name_Planungsperimeter / Projektperimeter,Country_Planungsperimeter / Projektperimeter,Town_Planungsperimeter / Projektperimeter,Region_Planungsperimeter / Projektperimeter",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,3.0,,,,,,1.0
LandArea_Planungsperimeter / Projektperimeter,LandArea,401,"Identifikationsnummer, die von der gesetzlichen Registrierungsbehörde für den Titel eines Grundstücks vergeben wird. Grundbuchblatt - Bezeichnung, Parzellenname.",Cust_Site,,,IfcIdentifier,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Planungsperimeter / Projektperimeter,Architektur Referenzmodell / Perimeter / Koordinationselemente,Datenübergabe in Bewirtschaftung BBL,Grundleistung,Planer (CDE oder Modell),2.0,Planungsperimeter / Projektperimeter,IfcSite,"Der Planungs-- oder Projektperimeter wird als IfcSite modelliert. Da das Baurechtliche Grundstück nicht zwangsläufig Deckungsgleich mit dem Planungsperimeter ist, können mehrere Parzellen gemäss Katasterplan zu einem IfcSite zusammengefasst werden.",Projekt,"PropertyName_Planungsperimeter / Projektperimeter,Identifier_Planungsperimeter / Projektperimeter,LandID_Planungsperimeter / Projektperimeter,Location_Planungsperimeter / Projektperimeter,LandArea_Planungsperimeter / Projektperimeter,PostalCode_Planungsperimeter / Projektperimeter,Name_Planungsperimeter / Projektperimeter,Country_Planungsperimeter / Projektperimeter,Town_Planungsperimeter / Projektperimeter,Region_Planungsperimeter / Projektperimeter",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,1.0,,,,,,1.0
Location_Planungsperimeter / Projektperimeter,Location,402,Flurname,Cust_Site,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Planungsperimeter / Projektperimeter,Architektur Referenzmodell / Perimeter / Koordinationselemente,Projektstart mit BIM,Grundleistung,Planer (CDE oder Modell),2.0,Planungsperimeter / Projektperimeter,IfcSite,"Der Planungs-- oder Projektperimeter wird als IfcSite modelliert. Da das Baurechtliche Grundstück nicht zwangsläufig Deckungsgleich mit dem Planungsperimeter ist, können mehrere Parzellen gemäss Katasterplan zu einem IfcSite zusammengefasst werden.",Projekt,"PropertyName_Planungsperimeter / Projektperimeter,Identifier_Planungsperimeter / Projektperimeter,LandID_Planungsperimeter / Projektperimeter,Location_Planungsperimeter / Projektperimeter,LandArea_Planungsperimeter / Projektperimeter,PostalCode_Planungsperimeter / Projektperimeter,Name_Planungsperimeter / Projektperimeter,Country_Planungsperimeter / Projektperimeter,Town_Planungsperimeter / Projektperimeter,Region_Planungsperimeter / Projektperimeter",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,3.0,,,,,,1.0
PostalCode_Planungsperimeter / Projektperimeter,PostalCode,403,"Postleitzahl. z.B. ""3400""",Cust_Site,,,IfcLabel,,checked,checked,checked,,"11 Bedürfnisformulierung / Lösungsstrategien,21 Definition des Vorhabens / Machbarkeitsstudie,22 Auswahlverfahren,31 Vorprojekt,32 Bauprojekt,33 Bewilligungsverfahren,""41 Ausschreibung / Offertvergleich, Vergabantrag"",51 Ausführungsplanung,52 Ausführung,53 Inbetriebnahme / Abschluss,61 Betrieb,62 Erhaltung","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Planungsperimeter / Projektperimeter,Architektur Referenzmodell / Perimeter / Koordinationselemente,Projektstart mit BIM,Grundleistung,Planer (CDE oder Modell),2.0,Planungsperimeter / Projektperimeter,IfcSite,"Der Planungs-- oder Projektperimeter wird als IfcSite modelliert. Da das Baurechtliche Grundstück nicht zwangsläufig Deckungsgleich mit dem Planungsperimeter ist, können mehrere Parzellen gemäss Katasterplan zu einem IfcSite zusammengefasst werden.",Projekt,"PropertyName_Planungsperimeter / Projektperimeter,Identifier_Planungsperimeter / Projektperimeter,LandID_Planungsperimeter / Projektperimeter,Location_Planungsperimeter / Projektperimeter,LandArea_Planungsperimeter / Projektperimeter,PostalCode_Planungsperimeter / Projektperimeter,Name_Planungsperimeter / Projektperimeter,Country_Planungsperimeter / Projektperimeter,Town_Planungsperimeter / Projektperimeter,Region_Planungsperimeter / Projektperimeter",Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0,3.0,,,,,,1.0
